references,quantity,manufacturer,manufacturer_part_number,value,package,rating,role,sourcing_note
R7,1,Yageo,RC0603FR-07100RL,100R,0603,0.1 W,MOSFET gate resistor,"Verify lifecycle, authorized source, stock, and current datasheet before build"
R8,1,Yageo,RC0603FR-07100KL,100k,0603,0.1 W,MOSFET gate pull-down,"Verify lifecycle, authorized source, stock, and current datasheet before build"
TP1,1,Keystone Electronics,5000,3V3,TestPoint_Loop,3 A,3.3 V test point,"Verify lifecycle, authorized source, stock, and current datasheet before build"
TP2,1,Keystone Electronics,5000,GND,TestPoint_Loop,3 A,ground test point,"Verify lifecycle, authorized source, stock, and current datasheet before build"
TP3,1,Keystone Electronics,5000,SDA,TestPoint_Loop,3 A,I2C data test point,"Verify lifecycle, authorized source, stock, and current datasheet before build"
TP4,1,Keystone Electronics,5000,SCL,TestPoint_Loop,3 A,I2C clock test point,"Verify lifecycle, authorized source, stock, and current datasheet before build"
TP5,1,Keystone Electronics,5000,RS485_A,TestPoint_Loop,3 A,RS-485 A test point,"Verify lifecycle, authorized source, stock, and current datasheet before build"
TP6,1,Keystone Electronics,5000,RS485_B,TestPoint_Loop,3 A,RS-485 B test point,"Verify lifecycle, authorized source, stock, and current datasheet before build"
U1,1,Espressif Systems,ESP32-WROOM-32E-N4,ESP32-WROOM-32E,Module_ESP32-WROOM-32,3.0 to 3.6 V,edge gateway MCU and radio,"Verify lifecycle, authorized source, stock, and current datasheet before build"
U2,1,Texas Instruments,TMP117MAIDRVR,TMP117M,WSON-6-2x2mm,-55 to 150 deg C,digital temperature sensor,"Verify lifecycle, authorized source, stock, and current datasheet before build"
U3,1,Texas Instruments,INA219AIDCNR,INA219A,SOT-23-8,26 V common mode,high-side DC current monitor,"Verify lifecycle, authorized source, stock, and current datasheet before build"
U4,1,Analog Devices,ADXL345BCCZ-RL7,ADXL345,LGA-14-3x5mm,2.0 to 3.6 V,3-axis vibration sensor,"Verify lifecycle, authorized source, stock, and current datasheet before build"
U5,1,Analog Devices,MAX3485ESA+,MAX3485,SOIC-8,3.0 to 3.6 V,3.3 V half-duplex RS-485 transceiver,"Verify lifecycle, authorized source, stock, and current datasheet before build"
U6,1,Diodes Incorporated,AP2112K-3.3TRG1,AP2112K-3.3,SOT-23-5,600 mA,3.3 V logic regulator,"Verify lifecycle, authorized source, stock, and current datasheet before build"
